i	delta
1679	0.201087
1680	0.061262
1681	0.046660
1682	0.135421
1683	0.155620
1684	0.046579
1685	-0.086390
1686	-0.173591
1687	0.179923
1688	-0.178438
1689	-0.186917
1690	-0.078041
1691	-0.153753
1692	0.080362
1693	-0.043285
1694	0.085691
1695	-0.187674
1696	-0.076232
1697	0.090624
1698	-0.094681
1699	0.052621
1700	-0.012768
1701	0.054338
1702	0.104073
1703	-0.126672
1704	-0.196187
1705	-0.184682
1706	-0.218530
1707	0.065140
1708	0.029863
1709	-0.022932
1710	0.048114
1711	0.059234
1712	-0.123729
1713	-0.099459
1714	0.006764
1715	-0.130176
1716	0.034391
1717	-0.055600
1718	-0.117146
1719	-0.140309
1720	-0.188697
1721	0.051323
1722	0.197800
1723	-0.055015
1724	0.086730
1725	0.217173
1726	-0.185684
1727	-0.190059
1728	-0.129635
1729	0.160775
1730	-0.065657
1731	-0.113550
1732	0.063724
1733	0.148312
1734	0.227247
1735	0.116883
1736	0.123432
1737	0.141621
1738	-0.044632
1739	-0.083351
1740	0.049104
1741	-0.048513
1742	-0.008533
1743	0.192054
1744	-0.154746
1745	-0.129990
1746	0.104254
1747	-0.045262
1748	0.181032
1749	-0.065965
1750	-0.183155
1751	-0.146004
1752	0.197262
1753	0.171746
1754	-0.154340
1755	-0.190906
1756	-0.038322
1757	0.179413
